link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/akink.html;Īpašnieks pārdod divistabu dzīvokli ar kopējo platību 42 m2 jaun;Klīversala::Kuģu 15;2;42;2/3;Renov.;135,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/bdpddf.html;Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 78 m2 jau;Klīversala::Kuģu 15;3;78;3/3;Renov.;245,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/hblme.html;Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 86 m2 jau;Klīversala::Kuģu 15;3;87;2/3;Renov.;240,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/ahnfl.html;Īpašnieks pārdod divistabu dzīvokli ar kopējo platību 41 m2 jaun;Klīversala::Kuģu 15;2;41;1/6;Jaun.;150,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/doidh.html;Īpašnieks pārdod divistabu dzīvokli ar kopējo platību 61 m2 jaun;Klīversala::Kuģu 15;2;61;1/3;Renov.;180,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/beedhe.html;Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 98 m2 jau;Klīversala::Kuģu 15;3;98;3/6;Jaun.;315,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/bdpclo.html;Īpašnieks pārdod četristabu dzīvokli ar kopējo platību 115 m2 ja;Klīversala::Kuģu 15;4;115;6/6;Jaun.;435,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/abkof.html;Īpašnieks izīrē pilnībā iekārtotu divistabu dzīvokli ar kopējo p;Klīversala::Kuģu 15;2;41;1/6;Jaun.;850  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/epcjb.html;Īpašnieks izīrē pilnībā iekārtotu vienistabas dzīvokli ar kopējo;Klīversala::Kuģu 15;1;42;1/3;Renov.;850  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/ejikm.html;Īpašnieks pārdod četristabu dzīvokli ar kopējo platību 126 m2 ja;Klīversala::Kuģu 15;4;126;3/6;Jaun.;465,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/ckhpo.html;Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 126 m2 ja;Klīversala::Kuģu 15;3;126;5/7;Jaun.;495,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/bebjdi.html;Īpašnieks pārdod četristabu dzīvokli ar kopējo platību 171 m2 ja;Klīversala::Kuģu 15;4;171;6/7;Jaun.;695,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/bxpmbc.html;Īpašnieks pārdod divistabu dzīvokli ar kopējo platību 68 m2 jaun;Klīversala::Kuģu 15;2;68;6/6;Jaun.;310,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/emidb.html;Īpašnieks pārdod pilnībā labiekārtotu divistabu dzīvokli ar kopē;Klīversala::Kuģu 15;2;41;1/6;Jaun.;150,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/dcpbc.html;"За наличные деньги - 

Куплю 1 - 1, 5 - 2 - 3 - комн. квартиру";Ķengarags::;2;-;12/7;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ebjgp.html;Pārdod izsmalcinātu dzīvokli Rīgas klusajā centrā arhitekta Kons;centrs::Vīlandes 16;3;90;2/6;P. kara;295,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbipci.html;Tiek pārdots pilnīgi mēbelēts 2 īstabu dzīvoklis – stūdija. Pārb;Ķengarags::Lokomotīves 16;2;36;1/5;Specpr.;49,800  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fhklo.html;Īpašniece ilgtermiņā izīrē 1-istabu dzīvokli Pļavniekos, 220€+ko;Pļavnieki::Keldiša 12;1;33;2/9;602.;220  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/bxbik.html;"Деньги в тот же день. 
Покупаем любые квартиры или 1/2-5/6 долю";Ķengarags::;Citi;-;-;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/ixibl.html;Pārdod 2-istabu dzīvokli ar mēbelēm. Dzīvoklis ir atbrīvots un p;Ķengarags::Glūdas 2;2;48;5/5;LT proj.;62,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/aonjl.html;Pārdod 3-istabu dzīvokli Valdemāra ielā 57/59, blakus Skonto Sta;centrs::Valdemāra 57/59;3;70;5/6;Renov.;150,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/eliko.html;"Īpašnieks pārdod mājīgu 2 istabu dzīvokli Rīgas centrā. 
Viesis";centrs::Mastu 3;2;50;4/5;Hrušč.;69,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/alkbm.html;Ilgtermiņā tiek piedavāts tikko atjaunots dzīvoklis ar divām ats;centrs::Avotu 11;3;81;5/6;P. kara;650  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/gbmbd.html;Сдам на длительный срок комнату 15 м2 , кухню 11 кв. м. Отоплени;Čiekurkalns::Čiekurkalna 5. šķ l. 1;1;26;2/2;Renov.;120  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/acphf.html;"""Hoffmann Rezidence"" Attīstītājs pārdod 2-istabu dzīvokli, kurš ";Āgenskalns::Kuģu 13;2;48;2/6;Jaun.;128,900  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/afing.html;Labdien. Meklēju dzīvokli uz augusta mēnesi Rīgā, vēlams centrā.;centrs::Miera;2;-;1;-;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/centre/bbcdl.html;Īpašnieks pārdod plašu un gaišu dzīvokli Rīgas centrā ar ērtu pl;centrs::Lāčplēša 47;4;90;3/5;P. kara;149,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/belkm.html;Dzīvokļa īpašnieks izīrē vienistabas dzīvokli bez dzīvniekiem, m;Pļavnieki::Ilūkstes 48;1;43;3/9;119.;270  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/elkmf.html;Tiek pārdots silts un saulains divistabu dzīvoklis zaļā un klusā;Šampēteris-Pleskodāle::Rucavas 1a;2;42;1/4;Hrušč.;48,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/gcbcd.html;Pārdod kapitāli izremontētu divistabu dzīvokli Hruščova laika mā;Vecmīlgrāvis::Vecmīlgrāvja 8;2;55;5/5;Hrušč.;67,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ejfmd.html;Продаётся 2 комнатная квартира, земля в собственность. Квартира ;Ziepniekkalns::Ziepniekkalna 75;2;54;1/3;Specpr.;73,000  €
